j, count, amp,
0,0,0.0,
1470,1,0.0,
2940,2,0.0,
4410,3,0.0,
5880,4,0.0,
7350,5,-0.06158447265625,
8820,6,-0.114013671875,
10290,7,-0.035675048828125,
11760,8,0.0908203125,
13230,9,-0.080963134765625,
14700,10,-0.02813720703125,
16170,11,0.137420654296875,
17640,12,-0.08941650390625,
19110,13,-0.010498046875,
20580,14,0.12298583984375,
22050,15,-0.050933837890625,
23520,16,0.0262451171875,
24990,17,-0.023345947265625,
26460,18,0.03338623046875,
27930,19,-0.006317138671875,
29400,20,0.013702392578125,
30870,21,-0.08380126953125,
32340,22,0.03350830078125,
33810,23,0.08758544921875,
35280,24,-0.029937744140625,
36750,25,-0.0087890625,
38220,26,0.011077880859375,
39690,27,-0.032379150390625,
41160,28,-0.04693603515625,
42630,29,0.066253662109375,
44100,30,0.009765625,
45570,31,0.01885986328125,
47040,32,0.073272705078125,
48510,33,0.147003173828125,
49980,34,-0.013275146484375,
51450,35,-0.028839111328125,
52920,36,0.014068603515625,
54390,37,0.006591796875,
55860,38,-6.103515625e-05,
57330,39,0.00665283203125,
58800,40,0.002716064453125,
60270,41,-0.000335693359375,
61740,42,0.032012939453125,
63210,43,0.1793212890625,
64680,44,-0.075531005859375,
66150,45,-0.06829833984375,
67620,46,0.0076904296875,
69090,47,0.11627197265625,
70560,48,0.019744873046875,
72030,49,-0.1046142578125,
73500,50,0.063629150390625,
74970,51,0.014617919921875,
76440,52,0.004852294921875,
77910,53,-0.0111083984375,
79380,54,0.064056396484375,
80850,55,0.037872314453125,
82320,56,0.0328369140625,
83790,57,0.020782470703125,
85260,58,-0.000396728515625,
86730,59,0.000762939453125,
88200,60,-0.0032958984375,
89670,61,-0.00347900390625,
91140,62,-0.000396728515625,
92610,63,0.252685546875,
94080,64,0.15771484375,
95550,65,0.087615966796875,
97020,66,0.0618896484375,
98490,67,0.017608642578125,
99960,68,-0.0909423828125,
101430,69,-0.012939453125,
102900,70,0.01348876953125,
104370,71,0.016387939453125,
105840,72,-0.000457763671875,
107310,73,-0.001495361328125,
108780,74,-0.00885009765625,
110250,75,0.1746826171875,
111720,76,-0.152252197265625,
113190,77,-0.0421142578125,
114660,78,0.02252197265625,
116130,79,-0.01898193359375,
117600,80,-0.05047607421875,
119070,81,-0.07476806640625,
120540,82,-0.025238037109375,
122010,83,-0.014678955078125,
123480,84,-0.001678466796875,
124950,85,-0.02618408203125,
126420,86,0.100372314453125,
127890,87,-0.0421142578125,
129360,88,0.025146484375,
130830,89,0.013397216796875,
132300,90,-0.13043212890625,
133770,91,-0.026611328125,
135240,92,-0.0430908203125,
136710,93,-0.02685546875,
138180,94,0.064361572265625,
139650,95,-0.052520751953125,
141120,96,0.005706787109375,
142590,97,0.064971923828125,
144060,98,0.09539794921875,
145530,99,0.07672119140625,
147000,100,-0.0394287109375,
148470,101,-0.059051513671875,
149940,102,-0.0784912109375,
151410,103,0.003448486328125,
152880,104,-0.07891845703125,
154350,105,-0.080596923828125,
155820,106,-0.01055908203125,
157290,107,0.24957275390625,
158760,108,0.062744140625,
160230,109,-0.0433349609375,
161700,110,0.048309326171875,
163170,111,0.05633544921875,
164640,112,-0.001251220703125,
166110,113,-0.07513427734375,
167580,114,0.0125732421875,
169050,115,0.012359619140625,
170520,116,0.014923095703125,
171990,117,-0.1173095703125,
173460,118,-0.088409423828125,
174930,119,-0.048492431640625,
176400,120,-0.02496337890625,
177870,121,-0.000396728515625,
179340,122,-3.0517578125e-05,
180810,123,0.00115966796875,
182280,124,0.0003662109375,
183750,125,0.000701904296875,
185220,126,0.0,
186690,127,0.002960205078125,
188160,128,0.130279541015625,
189630,129,-0.0291748046875,
191100,130,0.008575439453125,
192570,131,0.02032470703125,
194040,132,-0.036712646484375,
195510,133,0.0748291015625,
196980,134,-0.00244140625,
198450,135,-0.077911376953125,
199920,136,-0.02020263671875,
201390,137,0.0167236328125,
202860,138,-0.04669189453125,
204330,139,0.01202392578125,
205800,140,-0.043914794921875,
207270,141,-0.03668212890625,
208740,142,0.00311279296875,
210210,143,-0.005889892578125,
211680,144,0.0615234375,
213150,145,0.06439208984375,
214620,146,0.014923095703125,
216090,147,0.002593994140625,
217560,148,-0.15277099609375,
219030,149,0.088104248046875,
220500,150,0.04364013671875,
221970,151,-0.084991455078125,
223440,152,0.0721435546875,
224910,153,0.009033203125,
226380,154,0.006927490234375,
227850,155,-0.010040283203125,
229320,156,-0.001739501953125,
230790,157,-0.000152587890625,
232260,158,0.00225830078125,
233730,159,0.01385498046875,
235200,160,-0.057525634765625,
236670,161,0.04058837890625,
238140,162,0.01202392578125,
239610,163,-0.015716552734375,
241080,164,0.042205810546875,
242550,165,0.08526611328125,
244020,166,-0.08837890625,
245490,167,-0.026153564453125,
246960,168,0.009307861328125,
248430,169,0.010498046875,
249900,170,-0.122528076171875,
251370,171,0.142822265625,
252840,172,-0.055633544921875,
254310,173,-0.009918212890625,
255780,174,0.10882568359375,
257250,175,-0.005706787109375,
258720,176,0.0489501953125,
260190,177,0.05511474609375,
261660,178,-0.075439453125,
263130,179,0.04498291015625,
264600,180,-0.0665283203125,
266070,181,-0.06353759765625,
267540,182,-0.09228515625,
269010,183,-0.04827880859375,
270480,184,-0.036865234375,
271950,185,0.02288818359375,
273420,186,0.082061767578125,
274890,187,-0.09332275390625,
276360,188,-0.035308837890625,
277830,189,0.007049560546875,
279300,190,-0.0623779296875,
280770,191,-0.112823486328125,
282240,192,0.026824951171875,
283710,193,0.041473388671875,
285180,194,0.06463623046875,
286650,195,0.054779052734375,
288120,196,0.227569580078125,
289590,197,-0.093292236328125,
291060,198,-0.0191650390625,
292530,199,0.023681640625,
294000,200,-0.003753662109375,
295470,201,-0.023223876953125,
296940,202,-0.13153076171875,
298410,203,-0.049957275390625,
299880,204,0.0496826171875,
301350,205,-0.01025390625,
302820,206,-0.02056884765625,
304290,207,0.005279541015625,
305760,208,-0.0057373046875,
307230,209,-0.00506591796875,
308700,210,0.00048828125,
310170,211,-0.00018310546875,
311640,212,-0.085235595703125,
313110,213,0.21942138671875,
314580,214,-0.030364990234375,
316050,215,-0.000213623046875,
317520,216,-0.03302001953125,
318990,217,-0.043212890625,
320460,218,-0.013275146484375,
321930,219,0.032958984375,
323400,220,-0.025390625,
324870,221,-0.05560302734375,
326340,222,0.0048828125,
327810,223,0.131744384765625,
329280,224,0.13580322265625,
330750,225,0.02264404296875,
332220,226,0.0126953125,
333690,227,0.0181884765625,
335160,228,0.0,
336630,229,-0.00115966796875,
338100,230,-0.0003662109375,
339570,231,0.0010986328125,
341040,232,-0.036407470703125,
342510,233,0.08660888671875,
343980,234,0.002105712890625,
345450,235,-0.05072021484375,
346920,236,-0.07550048828125,
348390,237,-0.003326416015625,
349860,238,-0.031494140625,
351330,239,0.012298583984375,
352800,240,-0.003082275390625,
354270,241,0.001953125,
355740,242,0.007720947265625,
357210,243,0.018768310546875,
358680,244,-0.2197265625,
360150,245,-0.02056884765625,
361620,246,-0.020965576171875,
363090,247,0.00360107421875,
364560,248,-0.0010986328125,
366030,249,0.002288818359375,
367500,250,-0.012969970703125,
368970,251,-0.009674072265625,
370440,252,-0.006744384765625,
371910,253,0.0013427734375,
373380,254,0.07598876953125,
374850,255,-0.092803955078125,
376320,256,-0.054473876953125,
377790,257,0.05279541015625,
379260,258,-0.016204833984375,
380730,259,0.09197998046875,
382200,260,-0.089599609375,
383670,261,-0.0037841796875,
385140,262,-0.04254150390625,
386610,263,0.0616455078125,
388080,264,-0.07708740234375,
389550,265,-0.10711669921875,
391020,266,-0.04376220703125,
392490,267,-0.025177001953125,
393960,268,-0.04400634765625,
395430,269,0.039398193359375,
396900,270,-0.15447998046875,
398370,271,0.1541748046875,
399840,272,0.105682373046875,
401310,273,0.0400390625,
402780,274,0.01336669921875,
404250,275,0.066314697265625,
405720,276,0.01165771484375,
407190,277,0.141876220703125,
408660,278,0.1292724609375,
410130,279,0.0318603515625,
411600,280,0.032623291015625,
413070,281,-0.01617431640625,
414540,282,0.0186767578125,
416010,283,-0.025482177734375,
417480,284,-0.019287109375,
418950,285,-0.012481689453125,
420420,286,0.067901611328125,
421890,287,-0.144287109375,
423360,288,-0.073089599609375,
424830,289,-0.0093994140625,
426300,290,-0.011566162109375,
427770,291,-0.006683349609375,
429240,292,-0.002655029296875,
430710,293,-0.00079345703125,
432180,294,-0.00054931640625,
433650,295,-9.1552734375e-05,
435120,296,0.0042724609375,
436590,297,-0.15228271484375,
438060,298,0.11090087890625,
439530,299,0.01287841796875,
441000,300,-0.0035400390625,
442470,301,-0.0621337890625,
443940,302,-0.093963623046875,
445410,303,-0.0294189453125,
446880,304,-0.017059326171875,
448350,305,0.13629150390625,
449820,306,-0.07171630859375,
451290,307,-0.044097900390625,
452760,308,0.00604248046875,
454230,309,0.077972412109375,
455700,310,-0.076324462890625,
457170,311,0.01806640625,
458640,312,0.020751953125,
460110,313,-0.061065673828125,
461580,314,0.09893798828125,
463050,315,0.044586181640625,
464520,316,-0.00213623046875,
465990,317,-0.094146728515625,
467460,318,-0.201324462890625,
468930,319,-0.14111328125,
470400,320,-0.20849609375,
471870,321,-0.02093505859375,
473340,322,0.00189208984375,
474810,323,0.000732421875,
476280,324,0.002197265625,
477750,325,0.003509521484375,
479220,326,0.00164794921875,
480690,327,-0.0013427734375,
482160,328,-0.00323486328125,
483630,329,0.001495361328125,
485100,330,0.001373291015625,
486570,331,-0.00030517578125,
488040,332,0.00048828125,
489510,333,9.1552734375e-05,
490980,334,-0.00018310546875,
492450,335,0.000213623046875,
493920,336,-6.103515625e-05,
495390,337,-9.1552734375e-05,
496860,338,9.1552734375e-05,
498330,339,-3.0517578125e-05,
499800,340,0.003631591796875,
501270,341,3.0517578125e-05,
502740,342,0.002593994140625,
504210,343,-0.0015869140625,
505680,344,0.25225830078125,
507150,345,0.16839599609375,
508620,346,-0.19342041015625,
510090,347,0.18536376953125,
511560,348,-0.225616455078125,
513030,349,0.08526611328125,
514500,350,-0.1634521484375,
515970,351,-0.260009765625,
517440,352,0.078521728515625,
518910,353,-0.017333984375,
520380,354,-0.37310791015625,
521850,355,0.035308837890625,
523320,356,-0.01739501953125,
524790,357,0.01318359375,
526260,358,0.20611572265625,
527730,359,-0.23895263671875,
529200,360,-0.2523193359375,
530670,361,-0.208099365234375,
532140,362,0.100616455078125,
533610,363,-0.078155517578125,
535080,364,-0.185516357421875,
536550,365,-0.28961181640625,
538020,366,0.313446044921875,
539490,367,-0.0550537109375,
540960,368,-0.05340576171875,
542430,369,-0.03509521484375,
543900,370,-0.20526123046875,
545370,371,-0.041534423828125,
546840,372,-0.251617431640625,
548310,373,0.184295654296875,
549780,374,-0.201934814453125,
551250,375,0.0224609375,
552720,376,0.02618408203125,
554190,377,0.06890869140625,
555660,378,0.1090087890625,
557130,379,-0.17852783203125,
558600,380,-0.008819580078125,
560070,381,-0.184814453125,
561540,382,-0.095062255859375,
563010,383,-0.092376708984375,
564480,384,0.004150390625,
565950,385,0.022125244140625,
567420,386,0.021820068359375,
568890,387,0.221527099609375,
570360,388,-0.183502197265625,
571830,389,0.0535888671875,
573300,390,-0.138427734375,
574770,391,0.013580322265625,
576240,392,-0.317962646484375,
577710,393,0.279815673828125,
